NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
3100000,LinkedList,20.63,61.52,93.23,96.21,63.09,0.08
3100000,Vector,22.1,1536.79,32.21,32.82,0.02,1485.18
3100000,Vector_Initialized,21.18,1009.56,32.76,32.69,0.02,1006.84

3150000,ArrayList,11.73,1018.01,31.38,31.94,0.01,1013.4
3150000,ArrayList_Initialized,8.41,1002.5,31.81,29.89,0.01,993.9
3150000,LinkedList,7.95,64.0,96.49,96.69,63.38,0.05
3150000,Vector,11.22,992.0,31.28,31.48,0.02,1008.81
3150000,Vector_Initialized,9.93,1005.58,32.33,32.15,0.02,1026.39

3200000,ArrayList,10.07,1050.31,30.05,31.59,0.01,1035.61
3200000,ArrayList_Initialized,8.21,1016.59,31.99,31.37,0.01,1017.74
3200000,LinkedList,7.34,63.58,93.74,95.3,62.01,0.05
3200000,Vector,10.4,1020.8,31.68,31.73,0.02,1034.68
3200000,Vector_Initialized,8.55,997.62,29.96,29.82,0.02,1011.95

3250000,ArrayList,16.28,1013.27,30.96,32.02,0.01,1016.6
3250000,ArrayList_Initialized,12.94,1022.13,29.94,30.61,0.01,1047.38
3250000,LinkedList,12.04,62.81,97.17,93.88,61.12,0.06
3250000,Vector,14.35,1027.87,32.02,31.01,0.02,1048.02
3250000,Vector_Initialized,14.2,1008.03,30.4,31.83,0.03,1011.56

3300000,ArrayList,11.59,1017.51,29.25,29.08,0.01,1024.15
3300000,ArrayList_Initialized,8.84,1002.59,30.83,31.26,0.01,1025.98
3300000,LinkedList,9.04,63.35,94.47,93.74,61.9,0.04
3300000,Vector,12.51,1018.62,32.03,30.53,0.02,1015.61
3300000,Vector_Initialized,10.03,1024.16,31.92,31.83,0.02,1025.3

3350000,ArrayList,14.42,1014.78,29.74,29.65,0.01,1024.23
3350000,ArrayList_Initialized,13.28,1072.05,30.09,29.74,0.01,1024.94
3350000,LinkedList,7.33,63.47,97.12,97.58,63.13,0.03
3350000,Vector,10.48,1017.62,28.31,29.78,0.02,999.83
3350000,Vector_Initialized,9.73,1014.81,29.9,31.61,0.02,1024.52

3400000,ArrayList,19.6,1066.71,31.96,32.23,0.01,1052.59
3400000,ArrayList_Initialized,18.33,1013.88,32.66,27.9,0.01,997.1
3400000,LinkedList,19.97,61.55,95.36,95.94,62.78,0.06
3400000,Vector,22.72,1016.47,30.02,28.97,0.02,1007.29
3400000,Vector_Initialized,20.75,1048.58,30.54,29.91,0.02,1037.46

3450000,ArrayList,20.12,1007.15,28.98,27.57,0.01,1004.54
3450000,ArrayList_Initialized,18.53,1026.29,30.06,29.7,0.02,1019.31
3450000,LinkedList,20.45,63.86,97.09,97.43,61.39,0.05
3450000,Vector,23.43,1712.87,44.02,34.24,0.02,1678.43
3450000,Vector_Initialized,31.51,1082.29,30.48,30.83,0.02,1013.92

3500000,ArrayList,11.58,1015.74,29.86,29.99,0.01,1021.73
3500000,ArrayList_Initialized,9.25,1005.57,29.43,31.42,0.01,1019.86
3500000,LinkedList,8.72,64.13,95.26,96.62,63.29,0.05
3500000,Vector,11.5,1055.95,29.82,29.94,0.02,1032.59
3500000,Vector_Initialized,10.35,1035.28,29.07,29.86,0.02,1045.67

3550000,ArrayList,12.65,1015.5,31.34,31.5,0.01,1014.06
3550000,ArrayList_Initialized,11.71,1014.52,33.87,32.08,0.01,1014.72
3550000,LinkedList,9.78,62.25,94.98,95.8,63.17,0.06
3550000,Vector,13.45,1051.01,30.84,31.58,0.02,1029.29
3550000,Vector_Initialized,11.93,1035.21,33.0,32.67,0.02,1021.93

3600000,ArrayList,17.7,997.98,30.78,30.78,0.01,1023.27
3600000,ArrayList_Initialized,16.02,1013.27,30.5,31.19,0.01,1025.13
3600000,LinkedList,15.78,61.76,93.3,92.85,61.33,0.05
3600000,Vector,19.88,1009.28,32.45,32.64,0.02,1005.49
3600000,Vector_Initialized,17.39,1013.78,30.97,31.73,0.02,1007.63

3650000,ArrayList,17.57,1019.43,32.24,31.61,0.01,1023.19
3650000,ArrayList_Initialized,15.93,1018.87,30.49,29.86,0.01,1012.94
3650000,LinkedList,16.45,64.64,97.8,100.51,68.02,0.06
3650000,Vector,19.55,1033.73,33.4,32.9,0.02,1057.35
3650000,Vector_Initialized,17.53,1012.49,30.41,32.41,0.02,1019.95

3700000,ArrayList,10.3,1026.98,32.0,31.63,0.01,1028.33
3700000,ArrayList_Initialized,13.64,1022.62,31.85,32.44,0.01,1012.84
3700000,LinkedList,7.85,62.21,93.72,92.3,63.42,0.05
3700000,Vector,10.89,1023.3,31.72,31.88,0.03,1038.87
3700000,Vector_Initialized,8.99,1011.18,30.59,33.27,0.02,1025.01

3750000,ArrayList,10.27,1054.03,27.81,28.16,0.01,1059.24
3750000,ArrayList_Initialized,8.98,999.66,32.15,31.44,0.01,1067.73
3750000,LinkedList,10.31,66.97,100.73,101.38,65.64,0.06
3750000,Vector,12.12,1062.3,34.01,31.24,0.02,1065.5
3750000,Vector_Initialized,10.63,1059.91,29.64,29.87,0.02,1048.79

3800000,ArrayList,9.88,1015.38,31.75,32.78,0.01,1026.05
3800000,ArrayList_Initialized,7.79,1026.89,30.49,28.96,0.01,1063.71
3800000,LinkedList,7.33,62.95,94.09,96.95,63.08,0.05
3800000,Vector,10.1,1515.29,31.02,31.59,0.02,1500.16
3800000,Vector_Initialized,9.13,1005.7,33.57,33.16,0.02,1028.15

3850000,ArrayList,10.4,998.05,31.81,31.9,0.01,1008.77
3850000,ArrayList_Initialized,8.53,1014.77,29.5,28.72,0.01,1017.69
3850000,LinkedList,7.93,64.24,92.81,96.08,61.88,0.08
